unit_number,time_cycles,sensor,sensor_label,value,value_smoothed,fleet_median
1,30,BPR,BPR — bypass ratio (rises with wear),8.411,8.422,8.415
1,31,BPR,BPR — bypass ratio (rises with wear),8.402,8.42,8.416
1,30,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.4,47.301,47.316
1,31,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.23,47.288,47.314
1,30,T50,T50 — LPT outlet temperature (rises with wear),1400.97,1400.748,1401.506
1,31,T50,T50 — LPT outlet temperature (rises with wear),1398.91,1400.719,1401.376
1,30,phi,phi — fuel flow ratio (falls with wear),521.78,521.956,521.958
1,31,phi,phi — fuel flow ratio (falls with wear),521.79,521.93,521.951
2,30,BPR,BPR — bypass ratio (rises with wear),8.463,8.438,8.415
2,31,BPR,BPR — bypass ratio (rises with wear),8.431,8.436,8.416
2,32,BPR,BPR — bypass ratio (rises with wear),8.406,8.434,8.415
2,33,BPR,BPR — bypass ratio (rises with wear),8.416,8.432,8.416
2,34,BPR,BPR — bypass ratio (rises with wear),8.448,8.433,8.415
2,35,BPR,BPR — bypass ratio (rises with wear),8.459,8.436,8.417
2,36,BPR,BPR — bypass ratio (rises with wear),8.421,8.437,8.416
2,37,BPR,BPR — bypass ratio (rises with wear),8.418,8.432,8.418
2,38,BPR,BPR — bypass ratio (rises with wear),8.454,8.435,8.418
2,39,BPR,BPR — bypass ratio (rises with wear),8.436,8.435,8.418
2,40,BPR,BPR — bypass ratio (rises with wear),8.419,8.431,8.417
2,41,BPR,BPR — bypass ratio (rises with wear),8.425,8.43,8.418
2,42,BPR,BPR — bypass ratio (rises with wear),8.479,8.438,8.419
2,43,BPR,BPR — bypass ratio (rises with wear),8.493,8.445,8.417
2,44,BPR,BPR — bypass ratio (rises with wear),8.437,8.444,8.418
2,45,BPR,BPR — bypass ratio (rises with wear),8.447,8.443,8.419
2,46,BPR,BPR — bypass ratio (rises with wear),8.446,8.445,8.418
2,47,BPR,BPR — bypass ratio (rises with wear),8.422,8.446,8.418
2,48,BPR,BPR — bypass ratio (rises with wear),8.446,8.445,8.419
2,49,BPR,BPR — bypass ratio (rises with wear),8.45,8.446,8.416
2,30,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.49,47.478,47.316
2,31,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.53,47.469,47.314
2,32,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.51,47.466,47.332
2,33,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.49,47.482,47.326
2,34,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.54,47.491,47.336
2,35,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.42,47.481,47.333
2,36,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.48,47.483,47.341
2,37,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.19,47.449,47.331
2,38,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.5,47.452,47.335
2,39,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.58,47.473,47.33
2,40,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.47,47.471,47.338
2,41,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.44,47.462,47.329
2,42,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.45,47.456,47.334
2,43,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.55,47.462,47.334
2,44,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.65,47.473,47.339
2,45,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.5,47.481,47.342
2,46,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.42,47.475,47.348
2,47,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.5,47.506,47.344
2,48,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.44,47.5,47.35
2,49,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.67,47.509,47.36
2,30,T50,T50 — LPT outlet temperature (rises with wear),1409.97,1406.994,1401.506
2,31,T50,T50 — LPT outlet temperature (rises with wear),1402.47,1407.001,1401.376
2,32,T50,T50 — LPT outlet temperature (rises with wear),1416.93,1407.425,1401.951
2,33,T50,T50 — LPT outlet temperature (rises with wear),1405.06,1407.149,1401.817
2,34,T50,T50 — LPT outlet temperature (rises with wear),1409.15,1407.18,1401.957
2,35,T50,T50 — LPT outlet temperature (rises with wear),1402.02,1406.912,1401.718
2,36,T50,T50 — LPT outlet temperature (rises with wear),1407.87,1406.87,1401.57
2,37,T50,T50 — LPT outlet temperature (rises with wear),1404.83,1406.483,1402.174
2,38,T50,T50 — LPT outlet temperature (rises with wear),1401.81,1406.205,1402.152
2,39,T50,T50 — LPT outlet temperature (rises with wear),1405.46,1406.557,1402.566
2,40,T50,T50 — LPT outlet temperature (rises with wear),1407.82,1406.342,1402.138
2,41,T50,T50 — LPT outlet temperature (rises with wear),1405.79,1406.674,1402.188
2,42,T50,T50 — LPT outlet temperature (rises with wear),1409.1,1405.891,1402.011
2,43,T50,T50 — LPT outlet temperature (rises with wear),1405.06,1405.891,1401.995
2,44,T50,T50 — LPT outlet temperature (rises with wear),1411.05,1406.081,1402.36
2,45,T50,T50 — LPT outlet temperature (rises with wear),1406.2,1406.499,1402.528
2,46,T50,T50 — LPT outlet temperature (rises with wear),1401.67,1405.879,1402.58
2,47,T50,T50 — LPT outlet temperature (rises with wear),1403.23,1405.719,1402.292
2,48,T50,T50 — LPT outlet temperature (rises with wear),1411.96,1406.734,1402.136
2,49,T50,T50 — LPT outlet temperature (rises with wear),1410.83,1407.271,1402.224
2,30,phi,phi — fuel flow ratio (falls with wear),521.74,521.526,521.958
2,31,phi,phi — fuel flow ratio (falls with wear),521.41,521.523,521.951
2,32,phi,phi — fuel flow ratio (falls with wear),521.48,521.462,521.982
2,33,phi,phi — fuel flow ratio (falls with wear),521.41,521.391,521.977
2,34,phi,phi — fuel flow ratio (falls with wear),521.87,521.412,521.983
2,35,phi,phi — fuel flow ratio (falls with wear),521.99,521.449,521.994
2,36,phi,phi — fuel flow ratio (falls with wear),521.46,521.533,522.002
2,37,phi,phi — fuel flow ratio (falls with wear),521.74,521.544,521.97
2,38,phi,phi — fuel flow ratio (falls with wear),521.35,521.56,521.977
2,39,phi,phi — fuel flow ratio (falls with wear),521.75,521.62,521.949
2,40,phi,phi — fuel flow ratio (falls with wear),521.91,521.637,521.979
2,41,phi,phi — fuel flow ratio (falls with wear),521.47,521.643,521.973
2,42,phi,phi — fuel flow ratio (falls with wear),521.51,521.646,522.006
2,43,phi,phi — fuel flow ratio (falls with wear),521.31,521.636,521.98
2,44,phi,phi — fuel flow ratio (falls with wear),520.96,521.545,521.989
2,45,phi,phi — fuel flow ratio (falls with wear),521.65,521.511,521.972
2,46,phi,phi — fuel flow ratio (falls with wear),521.04,521.469,521.978
2,47,phi,phi — fuel flow ratio (falls with wear),522.23,521.518,521.971
2,48,phi,phi — fuel flow ratio (falls with wear),521.32,521.515,521.943
2,49,phi,phi — fuel flow ratio (falls with wear),521.74,521.514,521.956
3,30,BPR,BPR — bypass ratio (rises with wear),8.438,8.438,8.415
3,31,BPR,BPR — bypass ratio (rises with wear),8.458,8.442,8.416
3,32,BPR,BPR — bypass ratio (rises with wear),8.427,8.44,8.415
3,33,BPR,BPR — bypass ratio (rises with wear),8.44,8.437,8.416
3,34,BPR,BPR — bypass ratio (rises with wear),8.441,8.439,8.415
3,35,BPR,BPR — bypass ratio (rises with wear),8.457,8.438,8.417
3,36,BPR,BPR — bypass ratio (rises with wear),8.461,8.439,8.416
3,37,BPR,BPR — bypass ratio (rises with wear),8.432,8.44,8.418
3,38,BPR,BPR — bypass ratio (rises with wear),8.448,8.442,8.418
3,39,BPR,BPR — bypass ratio (rises with wear),8.403,8.44,8.418
3,40,BPR,BPR — bypass ratio (rises with wear),8.434,8.44,8.417
3,41,BPR,BPR — bypass ratio (rises with wear),8.46,8.44,8.418
3,42,BPR,BPR — bypass ratio (rises with wear),8.429,8.441,8.419
3,43,BPR,BPR — bypass ratio (rises with wear),8.419,8.438,8.417
3,44,BPR,BPR — bypass ratio (rises with wear),8.42,8.436,8.418
3,45,BPR,BPR — bypass ratio (rises with wear),8.423,8.433,8.419
3,46,BPR,BPR — bypass ratio (rises with wear),8.421,8.429,8.418
3,47,BPR,BPR — bypass ratio (rises with wear),8.452,8.431,8.418
3,48,BPR,BPR — bypass ratio (rises with wear),8.457,8.432,8.419
3,49,BPR,BPR — bypass ratio (rises with wear),8.435,8.435,8.416
3,50,BPR,BPR — bypass ratio (rises with wear),8.467,8.438,8.418
3,51,BPR,BPR — bypass ratio (rises with wear),8.429,8.435,8.419
3,52,BPR,BPR — bypass ratio (rises with wear),8.434,8.436,8.418
3,53,BPR,BPR — bypass ratio (rises with wear),8.412,8.435,8.419
3,54,BPR,BPR — bypass ratio (rises with wear),8.433,8.436,8.42
3,55,BPR,BPR — bypass ratio (rises with wear),8.442,8.438,8.418
3,56,BPR,BPR — bypass ratio (rises with wear),8.462,8.442,8.418
3,57,BPR,BPR — bypass ratio (rises with wear),8.441,8.441,8.418
3,58,BPR,BPR — bypass ratio (rises with wear),8.49,8.445,8.416
3,59,BPR,BPR — bypass ratio (rises with wear),8.404,8.442,8.416
3,60,BPR,BPR — bypass ratio (rises with wear),8.475,8.442,8.416
3,61,BPR,BPR — bypass ratio (rises with wear),8.422,8.442,8.419
3,62,BPR,BPR — bypass ratio (rises with wear),8.412,8.439,8.419
3,63,BPR,BPR — bypass ratio (rises with wear),8.46,8.444,8.42
3,64,BPR,BPR — bypass ratio (rises with wear),8.452,8.446,8.419
3,65,BPR,BPR — bypass ratio (rises with wear),8.462,8.448,8.418
3,66,BPR,BPR — bypass ratio (rises with wear),8.454,8.447,8.419
