Model,seed,RMSE,MAE,R2,NASA Score,epochs_run
XGBoost,42,19.82863520694054,14.734630584716797,0.7723193764686584,1305.1449757284606,
LSTM,42,15.333400118032774,12.034361839294434,0.8638500571250916,405.69724065021745,31.0
GRU,42,15.06912478309592,11.474112510681152,0.8685027956962585,410.5816563887244,30.0
1D CNN,42,14.759121935191523,11.002798080444336,0.8738574981689453,369.44699417068017,38.0
CNN-LSTM,42,14.981288683558473,11.831665992736816,0.8700312972068787,388.274894786914,35.0
XGBoost,43,19.82863520694054,14.734630584716797,0.7723193764686584,1305.1449757284606,
LSTM,43,14.380876749658457,10.892486572265625,0.8802401423454285,345.6108377983797,47.0
GRU,43,15.112192832027482,11.127137184143066,0.8677500486373901,431.5080927315476,25.0
1D CNN,43,15.114169696359491,11.438446998596191,0.8677154779434204,333.8719013349577,24.0
CNN-LSTM,43,14.772405643829964,11.473641395568848,0.8736302852630615,364.28277745277165,25.0
XGBoost,44,19.82863520694054,14.734630584716797,0.7723193764686584,1305.1449757284606,
LSTM,44,15.525062234111877,11.357921600341797,0.8604251146316528,481.22795916988355,33.0
GRU,44,15.033305005866609,11.28639030456543,0.8691272139549255,445.06232961667223,42.0
1D CNN,44,15.105728356315847,10.950859069824219,0.8678631782531738,404.8352832114964,46.0
CNN-LSTM,44,14.862875220308254,10.792396545410156,0.8720777034759521,402.30162616494056,35.0
